,Gene,PCA_feat
158,217,"[0.8899679182157203, -0.4588053487733177, -0.5218724845189678, 0.5633578145242807, -0.13976017259109116]"
159,218,"[-0.3579407316517588, -0.024548759615566327, -0.2978698199845926, -0.011179707120369054, -0.15886833226675928]"
160,219,"[0.7871525516655854, -0.5612472661487258, -0.07865451192552583, 0.5808703958360902, -0.029968206535350594]"
161,220,"[0.869635202696044, -0.38662942625621155, -0.2521716288702731, 0.6046538771097577, -0.06213041735700439]"
162,221,"[-0.41738568523540964, -0.08504230980226411, -0.020721075368658953, 0.00039355951087819915, -0.13705608657328786]"
163,222,"[-0.48467891389640705, -0.15282930606996972, 0.2814344490040284, 0.012690038969763381, -0.08929361805621563]"
164,223,"[0.7426265523974982, -0.6046972146794239, 0.09817639893265134, 0.5874070576909424, 0.04771662448337899]"
165,224,"[-0.31659057864291135, 0.014613611377620298, -0.44242166396279076, -0.015886683674258877, -0.27022602148796854]"
166,225,"[0.5801745179905966, -0.29512083084974117, -0.004941198077450254, -0.5064971175106766, -0.09080393667924205]"
167,226,"[-0.34906929519915336, -0.01511303431422555, -0.32997387936534495, -0.012029350194426356, -0.1766642803141834]"
168,229,"[-0.3649197527565091, -0.030541283814314705, -0.2836145703761102, -0.011087344027439537, -0.11983338425982225]"
169,230,"[-0.4156255027587745, -0.020507307503070792, 0.05047155503194502, 0.022018113853299104, -0.022475693730981686]"
170,231,"[0.8878248960395126, -0.46175284154194374, -0.49900707314849585, 0.5646703418937002, -0.16459800553662496]"
171,236,"[-0.4686541473252638, -0.13789657084957982, 0.2293945979392114, 0.01114090071103547, -0.14039885964348042]"
172,238,"[0.6580750339199228, -0.1448890119134446, -0.5231680428919614, -0.41746573558042477, -0.12455199176966852]"
173,239,"[0.8434208670547744, -0.5050441475593597, -0.32352491082088103, 0.5711260984906359, -0.08545359496674465]"
174,240,"[0.8906000100445423, -0.457931983860196, -0.5285959744013528, 0.5629733965364618, -0.13245428404855505]"
175,241,"[0.8658410545527532, -0.4383464327524978, -0.29744225385036466, 0.5884358995173025, -0.14442428646818742]"
176,242,"[0.8168341392796384, -0.5305888793849332, -0.21537362248002087, 0.5753421166152292, -0.04193553822939311]"
177,243,"[-0.4375246931207327, -0.08053437183854442, -0.33890218510823594, -0.024229922348644108, 0.6923896287912173]"
178,245,"[-0.49279535410788544, -0.16039263949371754, 0.307792295647138, 0.013474667438360987, -0.06340914504452727]"
179,246,"[0.8790084234886508, -0.4702939276286719, -0.4652576961202786, 0.5658735523970123, -0.14675170984664443]"
180,247,"[0.7889208875212465, -0.5588073268876519, -0.09748166890469015, 0.5797926500435028, -0.009512265193557906]"
181,248,"[0.8591297386892621, -0.4905475506859451, -0.3722028794597412, 0.5697693057298647, -0.14021172658028194]"
