,Drug,ECFP_PCA
204,DB08677,"[0.8407625776562985, -0.6238980856585117, 0.30879973988845805, 0.8373320637979789, 0.28032397808669535]"
205,DB06844,"[0.9679398106157178, -0.3394701600105262, -1.144492672383415, 0.4295739026096852, -0.0030854328740727724]"
206,DB02297,"[-0.4097716466568806, -0.9572179968307395, -1.1616329076409382, 0.37711093490193104, -0.328407647040996]"
207,DB08241,"[0.2589270682995603, 1.0043732095438302, -0.16644878480754663, 0.4463351807811878, 0.19397852189256432]"
208,DB04186,"[1.132734857365834, 1.1710575765202076, -0.19443840457457123, -0.19141263787013255, -0.9994483853043727]"
209,DB07791,"[0.5915122826649014, 0.7869266308089745, -1.3931101056267434, 0.057627887251680485, 0.3606858853632743]"
210,DB06983,"[1.5468008665332498, -0.3329423004082316, -0.6837440049802399, 1.0153426605342561, -0.9578265047770164]"
211,DB08133,"[0.9586333425792453, -0.7204518934605777, -0.3538484640281831, 0.8918742934793851, -0.10267430225147947]"
212,DB03737,"[-0.07683393787984631, -0.07821986803641383, -0.1847897827763293, -0.31871814806586685, 1.144419218014381]"
213,DB08139,"[0.22769797357904928, -0.2214894239713671, -1.0111518560213788, 0.28471068387325943, 0.2409550167422364]"
214,DB02647,"[0.9395941153145434, 0.1061801116407494, -0.15368634671111842, -0.05448686587993086, -0.45368265168000804]"
215,DB07024,"[0.13587713820984237, 0.5062392681221557, -0.8093609199352321, -1.2178784201895005, 0.15062416295169892]"
216,DB02091,"[-0.20280526343939662, -0.4698023736339494, -1.78582879184773, 0.5714875542694023, -0.07548870515341738]"
217,DB08533,"[0.33657888248046947, -0.21086842684454718, -1.1072463564743935, 0.7961857017274024, -0.18927510774650055]"
218,DB07065,"[1.388153197860882, -0.09401687588058917, -1.359038920214744, 0.9822254088608542, -0.4367683924759313]"
219,DB07431,"[0.08630532469170396, 0.44965175683668307, -0.6554774731755426, -0.8081837010140286, 1.0215827578701344]"
220,DB08538,"[1.0498261000325522, 0.20803326643841646, -1.2516750691138439, 1.1554896693644106, 0.3431980783570801]"
221,DB03428,"[0.12812699752948256, -0.20057846100545051, -1.3121600353962497, -0.5535168376483909, 1.2840581248868668]"
222,DB04101,"[0.017552994669580484, -0.46102963072901343, -1.3034939959574718, 0.379204214771324, 0.32793703548478786]"
223,DB07540,"[0.01069458874149923, -0.2785115319504588, -0.6462159852990934, -0.47599317276037567, 0.29272219316778797]"
224,DB03307,"[0.057033625662629255, -0.5678011679946499, -1.486337008481587, 1.1861833690051726, 0.3209967906365019]"
225,DB08141,"[0.5637243145929178, 1.2089740918138097, -0.41802362679273003, 0.27565727947784363, -0.07233488547994124]"
226,DB08233,"[0.11575835295956578, 0.8339888724825766, -0.8050037440138815, -0.04265630693462777, -0.08650112567237207]"
227,DB08694,"[-0.26898855854637255, -0.18612414935470983, -1.503660030878982, 0.7809372708925608, -0.5379751497636022]"
228,DB07687,"[0.3115881906274131, 1.042321761231137, -1.3508843707238056, 0.4019558891408103, -0.08764821420650971]"
229,DB08138,"[0.5159725491070529, -0.3775518464040755, -0.6969800860984262, 0.8192915939381898, 0.5405398782944908]"
230,DB08673,"[0.3334103411666763, -0.7983175039761726, -0.7212180859130892, 0.7153978210272592, 0.6059596493574751]"
231,DB04407,"[0.290648113766017, -0.4049024832727375, -1.450397010776802, 0.661274832010113, 0.6049441437863062]"
232,DB07761,"[0.6092137801722126, -0.2667485085948653, -0.7644130755373273, 1.0514109641885143, 1.4602994870644224]"
233,DB07054,"[0.41042577444063166, -0.2676520861167115, -0.7547722965486175, 1.1808736125310193, 1.7842867539945961]"
