,Disease,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
228,C0017636,0.540983607,0.049726776,-0.020318819,2.841919192,0.02855393
229,C0235833,0.166666667,0.090909091,-0.001496516,2.791666667,0.659747
230,C0036421,0.08,0.03,-0.002599523,3.047619048,0.4150235
231,C2609414,0.358208955,0.033016735,-0.015640742,3.270113864,0.8683098
232,C1876165,0.363636364,0.218181818,-0.004118793,2.276785714,0.6155235
233,C0000786,0.222222222,0.013845621,-0.010924815,3.331802163,0.6877081
234,C0017638,0.540540541,0.038504258,-0.027488427,3.052,0.2111381
235,C0017639,0.375,0.15,-0.005523478,2.57037037,0.1631881
236,C0013080,0.212121212,0.011337868,-0.015451961,3.257293763,0.3000161
237,C0497327,0.181818182,0.109090909,-0.007620021,2.861111111,0.3680776
238,C0030305,0.095238095,0.052380952,-0.002700458,3.002923977,0.6563381
239,C0002514,0.076923077,0.064102564,-0.000901483,2.987179487,0.5092697
240,C0040136,0.333333333,0.075757576,-0.008131764,2.731259968,0.7192561
241,C0027626,0.765151515,0.040365487,-0.038151408,3.01869637,0.540618
242,C0027627,0.632183908,0.025181051,-0.042599148,3.130859881,1.0
243,C0001925,0.166666667,0.06884058,-0.00319092,2.929487179,0.9952435
244,C0032914,0.090909091,0.034632035,-0.001345455,3.088235294,0.8595829
245,C0027746,0.581081081,0.047019622,-0.02124456,3.041335387,0.4592134
246,C0040038,0.5,0.272727273,-0.000951955,2.638888889,0.1402515
247,C0032460,0.051282051,0.0063689,-0.01724798,3.078195235,0.05076819
248,C0007787,0.3,0.2,-0.002575868,2.373015873,0.8738844
249,C0007786,0.733333333,0.084745763,-0.019683064,3.209753788,0.649858
250,C0007785,0.4,0.266666667,-0.001150128,2.821428571,0.2786215
251,C0546837,0.157894737,0.070175439,-0.002736185,2.676190476,0.1554022
252,C0029408,0.587628866,0.032646048,-0.025248846,3.171029177,0.4449985
253,C0029401,0.3,0.133333333,-0.002112979,2.711111111,0.0421476
254,C0853897,0.4,0.177777778,-0.001703926,2.797619048,0.4148718
255,C0392557,0.416666667,0.181818182,-0.000434324,2.857142857,0.3688327
256,C0236736,0.37037037,0.022845275,-0.016000364,3.212401597,1.0
257,C0162671,0.2,0.104761905,-0.00200934,2.244444444,0.998716
258,C0162670,0.1,0.133333333,-0.001277333,2.533333333,0.9986704
259,C0236733,0.146666667,0.018018018,-0.011456737,3.254369466,0.3410551
260,C0009375,0.68503937,0.032245969,-0.037552231,3.242277869,0.7516988
261,C0006111,0.181818182,0.069264069,-0.008550762,2.956801471,0.02809328
262,C0242339,0.117647059,0.088235294,-0.001683184,2.814102564,0.1748704
263,C0005138,0.090909091,0.090909091,-0.001176685,2.777777778,0.2796929
264,C0020437,0.166666667,0.121212121,-0.000768403,2.892857143,0.444131
265,C0036202,0.166666667,0.075757576,-0.001218147,2.714285714,0.9998027
266,C0023903,0.401785714,0.020913771,-0.024218931,3.176077717,0.04599444
267,C0027055,0.231707317,0.01897019,-0.008729211,2.686466165,1.0
268,C0920269,0.133333333,0.095238095,-0.003259051,2.333333333,0.8741281
269,C0339535,0.214285714,0.087912088,-0.000233356,3.529761905,0.09542395
270,C0038325,0.733333333,0.15862069,-0.02122089,2.786616162,0.1098268
271,C0023452,0.083333333,0.106060606,-0.001425383,3.218181818,0.8914473
272,C1272641,0.032258065,0.010047594,-0.004017499,2.865469858,0.4063271
273,C0023186,0.333333333,0.074074074,-0.010025742,3.254175744,0.2084445
274,C0265221,0.357142857,0.076923077,-0.000632405,2.942857143,0.1417174
275,C0024796,0.3,0.222222222,-0.002258354,2.380952381,0.8152621
276,C0009363,0.166666667,0.075757576,-0.003327301,2.827272727,0.2946796
277,C0024121,0.741573034,0.030978226,-0.048130459,3.39371379,0.3243305
278,C0270853,0.1,0.022222222,-0.000357443,3.047619048,0.6380879
279,C0006142,0.267605634,0.020925553,-0.010556172,3.020953547,0.9234824
280,C1458155,0.789838337,0.021587118,-0.105433952,3.479589375,0.950248
281,C0270850,0.090909091,0.036363636,-0.000407683,2.866666667,0.9815339
282,C0027796,0.090909091,0.090909091,-0.006856043,2.688888889,0.9986986
283,C0027794,0.111111111,0.042735043,-0.001997443,3.214285714,0.2512543
284,C0162820,0.075757576,0.016783217,-0.006480067,3.006422306,0.004994484
285,C0025521,0.125,0.075,-0.001529071,3.076923077,0.07070452
286,C0344388,0.057142857,0.016806723,-0.002875658,2.921652422,0.9766709
287,C0021841,0.636363636,0.236363636,-0.005959489,2.271428571,0.06477228
